ev_date,t,pred_accidentes
2025-08-31,211,103.33256601218699
2025-09-30,212,103.14684533922676
2025-10-31,213,102.96112466626653
2025-11-30,214,102.7754039933063
2025-12-31,215,102.58968332034607
2026-01-31,216,102.40396264738584
2026-02-28,217,102.2182419744256
2026-03-31,218,102.03252130146537
2026-04-30,219,101.84680062850512
2026-05-31,220,101.66107995554489
2026-06-30,221,101.47535928258466
2026-07-31,222,101.28963860962443
2026-08-31,223,101.1039179366642
2026-09-30,224,100.91819726370397
2026-10-31,225,100.73247659074374
2026-11-30,226,100.5467559177835
2026-12-31,227,100.36103524482327
2027-01-31,228,100.17531457186304
2027-02-28,229,99.9895938989028
2027-03-31,230,99.80387322594257
