,coef,std err,t,P>|t|,[0.025,0.975]
const,142.51962800679607,5.094239644964721,27.976624175438268,1.336982299932612e-72,132.47694859852078,152.56230741507136
t,-0.1857206729602326,0.04196664983887842,-4.425434807716738,1.549152244659024e-05,-0.26845286452247763,-0.10298848139798757
