Resumen Kruskal-Wallis
Etiqueta utilizada: ev_type
Clases detectadas: ['ACC', 'INC']
Filas totales analizadas: 26123

Variables analizadas y resultados:
- vis_sm: H=0.6742908591589127, p_raw=0.41155960622291576, p_holm=0.41155960622291576, rechazar=False, eta2_H=0.0
- wind_vel_kts: H=6.2263751835783605, p_raw=0.012586112045006419, p_holm=0.025172224090012837, rechazar=True, eta2_H=0.0002000832733654286
- wx_temp: H=618.997019791184, p_raw=1.2356685091165692e-136, p_holm=9.885348072932553e-136, rechazar=True, eta2_H=0.023659010749633783
- latitude: H=41.18947930505094, p_raw=1.3816421115952256e-10, p_holm=4.1449263347856767e-10, rechazar=True, eta2_H=0.0015385888482466574
- longitude: H=333.0200326177324, p_raw=2.1136309332045163e-74, p_holm=1.2681785599227097e-73, rechazar=True, eta2_H=0.01271084692843813
- num_eng: H=2611.570659235304, p_raw=0.0, p_holm=0.0, rechazar=True, eta2_H=0.09994145167624915
- acft_year: H=440.2952596130213, p_raw=9.336549314473654e-98, p_holm=6.535584520131557e-97, rechazar=True, eta2_H=0.016817704514108238
- total_seats: H=1320.2356285342607, p_raw=4.526493105798929e-289, p_holm=4.073843795219036e-288, rechazar=True, eta2_H=0.05050479034241648
- inj_total: H=48.52141686519689, p_raw=3.2670145492409152e-12, p_holm=1.3068058196963661e-11, rechazar=True, eta2_H=0.0018192801525667812
- inj_tot_t: H=119.7579357532409, p_raw=7.147084256076253e-28, p_holm=3.5735421280381264e-27, rechazar=True, eta2_H=0.0045464544141970405
